season,betting_rows,schedule_available,matched_to_schedule,match_rate_pct,with_final_scores,with_closing_spread,spread_pct_of_scored,with_over_under,two_sided_closing_ml,pct_two_sided_ml,distinct_team_names
2004,712,True,712,100.0,712,712,100.0,712,0,0.0,161
2005,728,True,728,100.0,728,728,100.0,728,0,0.0,166
2006,788,True,788,100.0,788,788,100.0,788,0,0.0,179
2007,800,True,800,100.0,800,800,100.0,800,0,0.0,186
2008,812,True,812,100.0,812,812,100.0,812,0,0.0,193
2009,810,True,810,100.0,810,810,100.0,810,0,0.0,199
2010,810,True,810,100.0,810,810,100.0,810,0,0.0,199
2011,817,True,817,100.0,817,817,100.0,817,0,0.0,205
2012,852,True,852,100.0,852,129,15.1,129,0,0.0,211
2013,861,True,861,100.0,861,123,14.3,123,0,0.0,216
2014,873,True,873,100.0,873,112,12.8,112,0,0.0,214
2015,876,True,876,100.0,876,110,12.6,110,0,0.0,216
2016,879,True,879,100.0,879,117,13.3,120,0,0.0,222
2017,890,True,890,100.0,890,107,12.0,107,0,0.0,218
2018,898,True,898,100.0,898,118,13.1,118,0,0.0,226
2019,892,True,892,100.0,892,116,13.0,116,0,0.0,223
2020,692,True,692,100.0,692,53,7.7,53,0,0.0,148
2021,895,True,895,100.0,895,122,13.6,122,0,0.0,233
2022,904,True,904,100.0,904,125,13.8,125,0,0.0,234
2023,911,True,911,100.0,911,882,96.8,882,0,0.0,229
2024,966,True,966,100.0,966,966,100.0,966,0,0.0,236
2025,958,True,958,100.0,958,958,100.0,958,0,0.0,236
2026,98,True,98,100.0,98,98,100.0,98,0,0.0,185
