Strategy,Mean,Median,Min,Max,Std Dev,Ruin Rate
Optimal F,$1269.35,$1211.78,$488.57,$3355.56,$377.26,0.0%
Merton (γ=1.0),$1265.87,$1209.46,$491.92,$3316.77,$372.46,0.0%
Kelly Criterion,$1265.75,$1209.38,$492.03,$3315.53,$372.30,0.0%
Naive Strategy,$1265.53,$1209.24,$492.25,$3313.02,$371.99,0.0%
Merton (γ=2.0),$1097.53,$1083.72,$691.59,$1797.79,$158.90,0.0%
Half Kelly,$1097.48,$1083.68,$691.66,$1797.44,$158.85,0.0%
Drawdown Kelly,$1066.40,$1057.40,$738.34,$1585.56,$123.24,0.0%
Quarter Kelly,$1021.30,$1017.47,$812.92,$1311.10,$73.62,0.0%
Merton (γ=5.0),$1006.68,$1004.07,$839.01,$1230.06,$58.04,0.0%
CPPI,$960.55,$960.05,$931.05,$1007.06,$11.53,0.0%
Fixed 5%,$25076.39,$38.02,$0.00,$9455153.07,$424543.32,38.0%
Dynamic,$8025.63,$16.94,$0.00,$2842354.51,$127927.86,42.6%
Fixed 10%,$464.38,$0.00,$0.00,$229432.05,$10250.52,97.4%
